Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C17, C2, C3, C4, C5, C6, C7, C8",0201,11,0.1uf,
"C12, C9",0201,2,1uf,
"C13, C14",0201,2,10uf,
"C15, C16",0201,2,33uf,
"C18, C20, C21",0201,3,10μf,
C19,0201,1,0.1μf,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_1x20_P1.00mm_Vertical,2,Conn_01x20,
J4,PinHeader_1x03_P1.00mm_Vertical,1,Conn_01x03,
L1,L_6.3x6.3_H3,1,2.2μH,
"R1, R2",0402,2,5.1KΩ,
"R3, R4",0402,2,27Ω,
R5,0402,1,1K,
R6,0402,1,1KΩ,
R7,0402,1,10KΩ,
R8,0201,1,100Ω,
"SW1, SW2",SW_SPST_TS-1088-xR020,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-89-3,1,MCP1700x-120xxMB,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,ER_OLEDM0.91_1x-I2C,1,ER_OLEDM0.91_1x-I2C,
U5,Texas_DRC0010J_ThermalVias,1,TPS63000,
XT1,JST-PH-2,1,~,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
